大カテゴリ,中カテゴリ,具体的なタスク,,,なーすけ(演者),おしりちゃん(PM),秘書・進行(★新規),経理・BO(★新規),運用・クリエイティブ(★新規),ショート編集(★新規),アナリスト(★新規),YouTube長尺編集(★新規)
6. 公開・運用,SNS運用,Instagram日常ストーリー投稿（リアルタイム）,,,A,-,-,-,R,-,-,-
6. 公開・運用,SNS運用,Instagramフィード投稿（画像作成・投稿）,,,A,-,-,-,R,-,-,-
6. 公開・運用,SNS運用,Instagramリール投稿,,,A,-,-,-,R,-,-,-
6. 公開・運用,SNS運用,X（旧Twitter）定期更新・動画告知,,,-,-,-,-,-,-,-,-
6. 公開・運用,SNS運用,★ 各種SNSのDMチェック・重要案件の吸い上げ,,,I,-,-,-,R,-,-,-
6. 公開・運用,ファン対応,コメントへの「いいね」・返信（YouTube）,,,C,I,-,-,R,-,-,-
7. 分析・改善,効果測定,公開直後の初速確認（CTR・維持率）,,,-,-,-,-,-,-,-,-
7. 分析・改善,効果測定,★ サムネイルABテスト実施・記録,,,-,-,-,-,R,-,C,-
7. 分析・改善,効果測定,月次レポート作成（再生数・収益・属性）,,,I,I,-,-,-,-,R,-
7. 分析・改善,改善,分析に基づく次回企画への改善案提示,,,I,I,-,-,-,-,R,-
8. 事務・管理,経理・総務,★ 経費精算（カード明細・領収書照合）,,,-,A,-,R,-,-,-,-
8. 事務・管理,経理・総務,★ スタッフ・外注費の支払い管理・振込,,,-,A,-,R,-,-,-,-
8. 事務・管理,組織,編集者・スタッフの採用・一次面接,,,C/I,A/R,-,-,-,-,-,-
8. 事務・管理,組織,★ 業務マニュアル・手順書の作成・更新,,,-,-,-,-,-,-,-,-
8. 事務・管理,組織,★ アカウント・パスワード管理,,,-,-,-,-,-,-,-,-
