,,,,,,※やりたくないではなく、手放したらMVVの達成が早くできそう,,,,⚫︎＝単純作業　▲＝クライアントワーク
,業務委託,業務委託（R）、神成（A/C/I）,,YouTubeの動画編集　動画の不要な部分カット,,手放したい,"・なーすけの色は残せていて不要な部分と判断してカットできる
・視聴者目線で不快な思いをする言葉やシーンに気づける",栞,,
,業務委託,業務委託（R）、神成（A/C/I）,,YouTubeの動画編集　動画のモザイク処理,,手放したい,"・映ってはいけない物（住所、他人、嫁すけ、洗濯の下着など）
　細かい部分を見て判断ができる人",栞,,
,栞,業務委託（R）、神成（A/C/I）,,YouTubeの動画編集　シーンにあったBGM探し,好き・楽しい,自分でやります！,,,,
,業務委託,業務委託（R）、神成（A/C/I）,,YouTubeの動画編集　BGMつけ,好き・楽しい,自分でやります！,,,,
,業務委託,業務委託（R）、神成（A/C/I）,,YouTubeの動画編集　左上に項目をつける,,手放したい,・プラグインの使用方法が分かる,栞,,
,業務委託,業務委託（R）、神成（A/C/I）,,YouTubeの動画編集　PR商品やセール情報記載,,手放したい,,栞,,
,業務委託,業務委託（R）、神成（A/C/I）,,YouTubeの動画編集　PFC表示を毎食分つける,,手放したい,,栞,,
,栞,業務委託（R）、神成（A/C/I）,,YouTubeの動画編集　最終動画確認,,自分でやります！,,,,
,業務委託,業務委託（R）、神成（A/C/I）,,YouTube編集　訂正がある場合は再度編集,,手放したい,・訂正された理由を理解しようとする,栞,,
,業務委託,業務委託（R）、神成（A/C/I）,,YouTube編集　訂正がある場合は再度アップロード,,手放したい,,栞,,
,栞,神成（R/A）,,YouTubeサムネイル作成　動画から素材をスクショ,,手放したい,"・サムネのテンプレートの共有
・キャンバの使用ができる
・Lightroom（携帯版で無料）の使用ができる
・明るさ調整方法の共有
・サムネ使用写真の選定基準の共有",栞,,
,栞,神成（R/A）,,YouTubeサムネイル作成　写真を携帯に取り込みLightroomで明るさを1枚ずつ調整,,手放したい,,栞,,
,栞,神成（R/A）,,YouTubeサムネイル作成　携帯からPCに写真をうつしキャンバで3枚作成,,手放したい,,栞,,
,栞,神成（R/A）,,YouTube設定　サムネイルを3枚設定,,手放したい,,栞,,
,栞,神成（R/A）,,YouTube設定　動画をYouTube studioにアップロード,,手放したい,"・YouTubeスタジオの使用方法が分かる
・アップロードや投稿予約の仕方が分かる",栞,,
,栞,神成（R/A）,,YouTube設定　動画のチャプターを概要欄に記載,,手放したい,,栞,,
,栞,神成（R/A）,,毎週企画会議　開催,好き・楽しい,手放したい,"・YouTube事業全体の把握
・全企業の進捗、投稿日、投稿内容をまとめる
・進捗に合わせて発生する各タスクをまとめる
・MTGの前の週の木曜日までにレジメをまとめて共有できる",栞,,
,栞,神成（R/A）,,毎週企画会議のレジメ作成　現状の企画進捗まとめ,好き・楽しい,手放したい,,栞,,
,栞,神成（R/A）,,毎週企画会議のレジメ作成　PR日程のまとめ,好き・楽しい,手放したい,,栞,,
,栞,神成（R/A）,,毎週企画会議のレジメ作成　なーすけ、久哉のタスクを整理,好き・楽しい,手放したい,,栞,,
,栞,神成（R/A）,,毎週定例会YouTube共有、検討事項まとめ,,手放したい,,栞,,
,栞,神成（R/A）なーすけ（C/I）,,YouTube撮影　発生する費用の事前申請,,手放したい,,栞,,
,栞,神成（R/A）なーすけ（C/I）,,YouTube撮影　使用する施設にアポ取り,嫌い・苦手,手放したい,・基本的なビジネスマナーのある文章の送信,栞,,
,栞,神成（R/A）なーすけ（C/I）,,YouTube大会撮影　撮影申請許可の連絡,嫌い・苦手,手放したい,,栞,,
,栞,神成（R/A）なーすけ・紫音（I）,,SFF協賛のYouTube編集,,手放したい,"・基本的なビジネスマナーのある文章の送信
・オリエンシートは必要事項の記載があるかの確認
　シートを見て動画撮影イメージをなーすけに提案できる",栞,,
,栞,神成（R/A）紫音（C/I）,,SFF協賛のYouTube　企業やり取り,,手放したい,,栞,,
,栞,神成（R/A）紫音（C/I）なーすけ（I）,,SFF協賛のYouTube　オリエンシート確認,,手放したい,,栞,,
,栞,神成（R/A）,,YouTube サムネイルABテスト,好き・楽しい,自分でやります！,,,,
,的場,なーすけ（I）・神成（A/I）的場（R）,,なーすけYouTube_数値確認,好き・楽しい,手放したい,数値管理,,,
,的場,なーすけ（I）・神成（A/I）的場（R）,,YouTube 数値の分析,嫌い・苦手,手放したい,"・YouTubeのアルゴリズムや数値を見て、仮説を立てたり、
　策を出せる人",栞,,
